date_debut_mois,Automate driving & Autonomous drive,Bandit algorithm & Linear bandit,Camera lidar & Lidar camera,"Causal discovery, Discover causal & Causal modeling",Clinical documentation & Clinical information,Code generation & Programming language,Differential privacy & Privacy dp,"Diffusion language, Diffusion sampler & Diffusion model",Humanoid control & Humanoid motion,Linear code & Additive code,Mri image & Imaging mri,Reward modeling & Reward model,Robotic hand & Robot hand,Shannon entropy & Entropy maximize,"Video generation, Video model & Video language"
2026-03-01,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0
2026-04-01,3.0,11.0,0.0,4.0,0.0,21.0,6.0,4.0,0.0,21.0,2.0,3.0,0.0,9.0,0.0
2026-05-01,36.0,44.0,29.0,22.0,31.0,22.0,26.0,38.0,18.0,33.0,17.0,48.0,20.0,16.0,59.0
2026-06-01,32.0,20.0,28.0,23.0,42.0,15.0,16.0,13.0,37.0,23.0,23.0,16.0,38.0,11.0,35.0
