topic_id,method,date,forecast,lower,upper,mae,rmse,mape,smape,r2,forecast_pct
0,Ensemble,2026-08-01,0.014385832830365368,0.0025041848115606837,0.026267479917847475,0.00808,0.00869,,,,1.4385832830365368
0,Ensemble,2026-09-01,0.017488450700827864,-0.0001508689512643869,0.03512777128424269,0.00808,0.00869,,,,1.7488450700827864
0,Ensemble,2026-10-01,0.01989680294054968,-0.0029228377728999534,0.04271644272267674,0.00808,0.00869,,,,1.989680294054968
0,Ensemble,2026-11-01,0.020680191019315182,-0.0028235888876333593,0.04418397139192501,0.00808,0.00869,,,,2.0680191019315184
0,Ensemble,2026-12-01,0.020935874110324763,-0.0026711535336860597,0.044542900823013015,0.00808,0.00869,,,,2.0935874110324764
0,Ensemble,2027-01-01,0.021170110965091242,-0.0024527486509662404,0.044792971046810015,0.00808,0.00869,,,,2.117011096509124
1,Ensemble,2026-08-01,0.008687381387221416,-0.05398111175852441,0.07135587453296724,0.00336,0.0037,,,,0.8687381387221416
1,Ensemble,2026-09-01,0.008661605405154427,-0.07968826723712312,0.09701147804743197,0.00336,0.0037,,,,0.8661605405154427
1,Ensemble,2026-10-01,0.008644808769690593,-0.09941107945858305,0.11670069699796423,0.00336,0.0037,,,,0.8644808769690593
1,Ensemble,2026-11-01,0.008631337421479424,-0.11603749042656246,0.13330016526952132,0.00336,0.0037,,,,0.8631337421479424
1,Ensemble,2026-12-01,0.008625025382729967,-0.13068009608950934,0.14793014685496927,0.00336,0.0037,,,,0.8625025382729967
1,Ensemble,2027-01-01,0.008629699690731962,-0.14390764266880576,0.16116704205026972,0.00336,0.0037,,,,0.8629699690731962
2,Ensemble,2026-08-01,0.004498237354172913,-0.006644017336546928,0.0156404922777234,0.01319,0.01577,,,,0.44982373541729126
2,Ensemble,2026-09-01,0.00536330203234147,-0.006623535459373797,0.01735013905839545,0.01319,0.01577,,,,0.536330203234147
2,Ensemble,2026-10-01,0.00398545324819757,-0.009261108510291764,0.017232015006686904,0.01319,0.01577,,,,0.398545324819757
2,Ensemble,2026-11-01,0.003584935817365094,-0.009796825661106614,0.016966696946590837,0.01319,0.01577,,,,0.3584935817365094
2,Ensemble,2026-12-01,0.0021343426672874436,-0.01131411344674256,0.015582799014148092,0.01319,0.01577,,,,0.21343426672874435
2,Ensemble,2027-01-01,0.0018331324378271067,-0.011701406696327236,0.01536767203764274,0.01319,0.01577,,,,0.18331324378271066
3,Ensemble,2026-08-01,0.01170364689168223,0.0051738108613930195,0.01823348292197144,0.00164,0.00205,,,,1.170364689168223
3,Ensemble,2026-09-01,0.012964898728497374,0.005426115656974279,0.020503682265681757,0.00164,0.00205,,,,1.2964898728497374
3,Ensemble,2026-10-01,0.012963061240828733,0.005331056837143039,0.020595065644514427,0.00164,0.00205,,,,1.2963061240828733
3,Ensemble,2026-11-01,0.012765366445317724,0.004224945560639748,0.021305786864334417,0.00164,0.00205,,,,1.2765366445317723
3,Ensemble,2026-12-01,0.011966014207179531,0.0031145886178856573,0.020817439796473408,0.00164,0.00205,,,,1.1966014207179532
3,Ensemble,2027-01-01,0.012167693586617977,0.003275046479260853,0.021060340693975103,0.00164,0.00205,,,,1.2167693586617976
4,Ensemble,2026-08-01,0.011723093586646156,0.0048319821145197395,0.018614205291603216,0.00223,0.00261,,,,1.1723093586646156
4,Ensemble,2026-09-01,0.011879722307480425,0.003554688445062624,0.02020475640272887,0.00223,0.00261,,,,1.1879722307480425
4,Ensemble,2026-10-01,0.010520806475478182,0.0011241953250997962,0.01991741809151785,0.00223,0.00261,,,,1.0520806475478182
4,Ensemble,2026-11-01,0.01056572575849782,0.0011566208415521241,0.0199748311411048,0.00223,0.00261,,,,1.056572575849782
4,Ensemble,2026-12-01,0.010487349841569767,0.0010782446917934276,0.01989645475851546,0.00223,0.00261,,,,1.0487349841569766
4,Ensemble,2027-01-01,0.010438489865337715,0.0010293847155613757,0.019847594782283408,0.00223,0.00261,,,,1.0438489865337715
5,Ensemble,2026-08-01,0.00520352079604062,-0.0050660650775743825,0.015473106786070943,0.00668,0.00755,,,,0.520352079604062
5,Ensemble,2026-09-01,0.005038999409753041,-0.01060737335599134,0.02068537226280891,0.00668,0.00755,,,,0.5038999409753041
5,Ensemble,2026-10-01,0.003282804898448885,-0.017210298380553987,0.02377590832297091,0.00668,0.00755,,,,0.3282804898448885
5,Ensemble,2026-11-01,0.0024638376802464538,-0.01888113584273383,0.023808811319642062,0.00668,0.00755,,,,0.24638376802464537
5,Ensemble,2026-12-01,0.0020875244730361115,-0.019429445687943483,0.023604494866846352,0.00668,0.00755,,,,0.20875244730361114
5,Ensemble,2027-01-01,0.0018589237818497422,-0.019693534187153788,0.02341138163443795,0.00668,0.00755,,,,0.18589237818497423
6,Ensemble,2026-08-01,9.724173287395388e-05,-0.0042768059461772345,0.004471289382821312,0.00898,0.00942,,,,0.009724173287395388
6,Ensemble,2026-09-01,0.00010761714656837285,-0.004266430547034731,0.0044816647819638155,0.00898,0.00942,,,,0.010761714656837285
6,Ensemble,2026-10-01,0.00010920506611000746,-0.004264842409214368,0.004483252686953535,0.00898,0.00942,,,,0.010920506611000746
6,Ensemble,2026-11-01,0.00010569666483206674,-0.004268350934183588,0.004479744394814958,0.00898,0.00942,,,,0.010569666483206674
6,Ensemble,2026-12-01,9.666475671110675e-05,-0.004277382900512209,0.0044707124284863375,0.00898,0.00942,,,,0.009666475671110675
6,Ensemble,2027-01-01,7.371469109784812e-05,-0.004300332784226527,0.004447762311941376,0.00898,0.00942,,,,0.007371469109784812
7,Ensemble,2026-08-01,0.007249297178177802,-3.10151324233285e-05,0.014529609721609577,0.00353,0.00409,,,,0.7249297178177803
7,Ensemble,2026-09-01,0.0070907497892930965,-0.007966166628351031,0.022147666206937224,0.00353,0.00409,,,,0.7090749789293096
7,Ensemble,2026-10-01,0.008727206326093487,-0.012232057668849423,0.02968647055386704,0.00353,0.00409,,,,0.8727206326093486
7,Ensemble,2026-11-01,0.009280053122417933,-0.013865529261838504,0.03242563550667436,0.00353,0.00409,,,,0.9280053122417933
7,Ensemble,2026-12-01,0.009402162726822504,-0.013945932720990976,0.03275025817463599,0.00353,0.00409,,,,0.9402162726822504
